id;name;category;brand;saleFormat;installmentsNoInterest;flashOffer;price;oldPrice;offPct;freeShip;image;featured;description;stock;location;barcode;unit;cdsetor;cdsetdep
01.0002;"BASCULANTE ALUM BRANCO 40X60";"ALUMINIO";"";"UN";false;false;101.07;;;false;"/assets/produtos/01.0002.jpg";false;"Produto sem descrição.";0;"";"7898457534536";"UN";;
01.0003;"KIT ARM MGM LIRIO BCO 59 CM";"ARMARIOS";"";"UN";false;false;299.00;;;false;"/assets/produtos/01.0003.png";false;"Produto sem descrição.";0;"";"7898942617492";"UN";;
01.0005;"BASCULANTE ALUM BRANCO 50X50";"ALUMINIO";"";"UN";false;false;102.27;;;false;"/assets/produtos/01.0005.jpg";false;"Produto sem descrição.";0;"";"7898457535953";"UN";;
01.0006;"ARMARIO RORATO AEREO BCO 3 PORTAS 1,06 MT";"ARMARIOS";"";"UN";false;false;349.00;;;false;"/assets/produtos/01.0006.jpg";false;"Produto sem descrição.";3;"";"7899523219890";"UN";;
01.0007;"BASCULANTE ALUM BRANCO 60X40";"ALUMINIO";"";"UN";false;false;113.10;;;false;"/assets/produtos/01.0007.jpg";false;"Produto sem descrição.";0;"";"7898457534567";"UN";;
01.0008;"PORTA CORTINA BOX 1,20X1,33";"UTILIDADES DO LAR";"";"UN";false;false;31.59;;;false;"/assets/produtos/01.0008.png";false;"Produto sem descrição.";4;"";"17896205216298";"UN";;
01.0009;"BAUTECH RODAPE 12 KG";"ADESIVOS";"";"UN";false;false;359.84;;;false;"/assets/produtos/01.0009.jpg";false;"Produto sem descrição.";0;"";"1.1.20";"UN";;
803195;"MARTELETE ROTATIVO MAKITA 127V M8700G";"FERRAMENTAS";"";"UN";false;true;1011.30;1348.40;25;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"088381169103";"UN";;
01.0010;"GABINETE ACONCHEGO/TOQUIO 1.2 M BC";"ARMARIOS";"";"UN";false;false;369.00;;;false;"/assets/produtos/01.0010.jpg";false;"Produto sem descrição.";1;"";"7899523216219";"UN";;
01.0011;"TAMPO ASTRA PNE";"TAMPOS E ACESSORIOS";"";"UN";false;false;96.04;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7891222235287";"UN";;
01.0012;"VASO JARD BADI 28 BEGE";"MATERIAIS PLASTICOS";"";"UN";false;false;66.54;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7898950038432";"UN";;
01.0013;"VASO JARD SAFIRA 17 BEGE";"MATERIAIS PLASTICOS";"";"UN";false;false;67.58;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"7898950038760";"UN";;
01.0014;"VASO JARD SAFIRA 17 PEDRA";"MATERIAIS PLASTICOS";"";"UN";false;false;67.58;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";3;"";"7898950038784";"UN";;
01.0016;"VASO JARD NICE 47 SEXTAVADO BEGE";"MATERIAIS PLASTICOS";"";"UN";false;false;121.13;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";3;"";"7898629801107";"UN";;
01.0018;"PORTA CORTINA 1,50X163";"UTILIDADES DO LAR";"";"UN";false;false;33.26;;;false;"/assets/produtos/01.0018.jpg";false;"Produto sem descrição.";1;"";"17896205216311";"UN";;
01.0020;"PORTA CORTINA 0.90X1.03";"UTILIDADES DO LAR";"";"UN";false;false;25.69;;;false;"/assets/produtos/01.0020.jpg";false;"Produto sem descrição.";2;"";"17896205216274";"UN";;
01.0022;"GABINETE ACONCHEGO/TOQUIO 1.5 M BC";"ARMARIOS";"";"UN";false;false;429.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7899523216226";"UN";;
01.0023;"GABINETE RORATO SIENA 40 C/ESP CZ";"ARMARIOS";"";"UN";false;false;199.90;;;false;"/assets/produtos/01.0023.jpg";false;"Produto sem descrição.";0;"";"7899523212228";"UN";;
01.0024;"PIA RORALIT 64CM COD 800487//01.0025// 8001505";"ARMARIOS";"";"UN";false;false;129.64;;;false;"/assets/produtos/01.0024.png";false;"Produto sem descrição.";2;"";"1.1.4";"UN";;
01.0025;"GABINETE RORATO MONACO 60 S/ESP BG";"ARMARIOS";"";"UN";false;false;399.00;;;false;"/assets/produtos/01.0025.jpg";false;"Produto sem descrição.";1;"";"7899523201680";"UN";;
01.0026;"ESPELH RORATO MON/VIENA 60 BG";"ARMARIOS";"";"UN";false;false;249.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"7899523216677";"UN";;
01.0027;"VASO JARD BADI 28 CAFE";"MATERIAIS PLASTICOS";"";"UN";false;true;71.11;87.94;19;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"7898950038425";"UN";;
01.0028;"RAQUETE ELETRICA MATA MOSQUITO";"FERRAGENS";"";"UN";false;true;39.00;52.00;25;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.1.5";"UN";;
01.0029;"BAGUM MT";"ACESSORIOS DE MADEIRA";"";"UN";false;true;1.32;1.65;20;false;"/assets/no-image.jpg";false;"Produto sem descrição.";-15;"";"1.1.50";"UN";;
01.0031;"KIT ARM MGM LIRIO BC/PT 59 CM";"ARMARIOS";"";"UN";false;true;299.00;562.49;47;false;"/assets/produtos/01.0031.png";false;"Produto sem descrição.";0;"";"7898942617508";"UN";;
01.0032;"GABINETE ASTRA LAV FIT 45X58 BCO";"MATERIAIS PLASTICOS";"";"UN";false;false;199.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"7891222164099";"UN";;
01.0033;"KIT BANH FABRIMAR PLURATTA 5 PCS";"FABRIMAR";"";"UN";false;false;99.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"7891506078005";"UN";;
01.0034;"GABINETE RORATO VERONA 60 C/ESP BG";"ARMARIOS";"";"UN";false;false;459.00;;;false;"/assets/produtos/01.0034.png";false;"Produto sem descrição.";2;"";"7899523200713";"UN";;
01.0035;"FUSEPROTEC RESINA GL FOSCO";"INFLAMAVEL";"";"UN";false;true;301.60;416.00;27;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7612894765588";"UN";;
01.0036;"GABINETE FRANK SALDO";"ARMARIOS";"";"UN";false;true;99.00;348.22;72;false;"/assets/produtos/01.0036.jpg";false;"Produto sem descrição.";0;"";"1.1.62";"UN";;
01.0037;"VASO JARD CONICO ATENAS 45 CAFE";"MATERIAIS PLASTICOS";"";"UN";false;false;72.65;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7898950038241";"UN";;
01.0041;"GABINETE VALENZA 116,2 CM BR";"ARMARIOS";"";"UN";false;true;399.00;599.00;33;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1.1.75";"UN";;
01.0042;"VASO JARD SAFIRA 17 CAFE";"MATERIAIS PLASTICOS";"";"UN";false;false;67.58;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"7898950038753";"UN";;
01.0044;"PRATO P VASO RED 33 CAFE";"MATERIAIS PLASTICOS";"";"UN";false;true;33.32;41.96;21;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"7898629800568";"UN";;
01.0045;"GABINETE RORATO VIENA 60 S/ESP BG";"ARMARIOS";"";"UN";false;false;389.00;;;false;"/assets/produtos/01.0045.png";false;"Produto sem descrição.";2;"";"7899523202205";"UN";;
01.0046;"GABINETE RORATO SIENA 60 C/ESP BR";"ARMARIOS";"";"UN";false;false;199.00;;;false;"/assets/produtos/01.0046.png";false;"Produto sem descrição.";0;"";"1.1.83";"UN";;
01.0115;"TAMPO POLIESTER LISO CARAMELO";"TAMPOS E ACESSORIOS";"";"UN";false;true;299.00;381.22;22;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1111";"UN";;
01.0116;"ANEL BORRACHA PBA 75/85";"SOLDAVEL MARROM/PPR/PBA";"";"UN";false;true;230.00;423.62;46;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.1.16";"UN";;
01.0117;"KIT ARM MGM TULIPA  BCO/CAF� 59 CM";"ARMARIOS";"";"UN";false;false;479.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"7898942617454";"UN";;
01.0118;"CANTONEIRA MAO FRANCESA GALV 38X20";"FERRAGENS";"";"UN";false;false;13.06;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";6;"";"1.1.2";"UN";;
01.0119;"VASO JARD SAFIRA 17 AMARELO";"MATERIAIS PLASTICOS";"";"UN";false;true;40.69;50.35;19;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1.1.28";"UN";;
01.0121;"VASO JARD CONICO ATENAS 45 PEDRA";"MATERIAIS PLASTICOS";"";"UN";false;false;72.65;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"7898950038265";"UN";;
01.0123;"KIT ARM MGM TULIPA AMENDOA 59 CM";"ARMARIOS";"";"UN";false;false;479.00;;;false;"/assets/produtos/01.0123.png";false;"Produto sem descrição.";0;"";"7898942617485";"UN";;
